run_name,algorithm,traffic_generation_rate_mbps,num_flows,num_reachable_flows,num_unreachable_flows,num_unreachable_pairs,topology_reachability,throughput_mbps,throughput_active_window_mbps,load_balance_jain,avg_delay_ms,median_delay_ms,p95_delay_ms,reachable_avg_delay_ms,reachable_median_delay_ms,reachable_p95_delay_ms,drop_rate,topology_drop_rate,congestion_drop_rate,reachable_drop_rate,completion_rate,reachable_completion_rate
tm_poisson_0_05_Mbps_with_TcpHybla_spf,spf,0.05,24,24,0,0,1.0,0.44,0.44,0.014105484971278025,29.705305738968093,28.645399,55.4542945,29.705305738968093,28.645399,55.4542945,0.08333333333333337,0.0,0.08333333333333337,0.08333333333333337,0.9166666666666666,0.9166666666666666
tm_poisson_0_05_Mbps_with_TcpNewReno_spf,spf,0.05,24,24,0,0,1.0,0.44,0.44,0.014059722623381779,29.709002360997964,28.645399,55.519973,29.709002360997964,28.645399,55.519973,0.08333333333333337,0.0,0.08333333333333337,0.08333333333333337,0.9166666666666666,0.9166666666666666
tm_poisson_0_05_Mbps_with_TcpBic_spf,spf,0.05,24,24,0,0,1.0,0.46,0.46,0.01470622549060371,33.79615225594406,28.7268335,56.642508,33.79615225594406,28.7268335,56.642508,0.04166666666666663,0.0,0.04166666666666663,0.04166666666666663,0.9583333333333334,0.9583333333333334
tm_poisson_0_05_Mbps_with_TcpWestwood_spf,spf,0.05,24,24,0,0,1.0,0.44,0.44,0.014288091695855052,28.31641383595352,25.218347,56.1393375,28.31641383595352,25.218347,56.1393375,0.08333333333333337,0.0,0.08333333333333337,0.08333333333333337,0.9166666666666666,0.9166666666666666
tm_poisson_0_05_Mbps_with_TcpVegas_spf,spf,0.05,24,24,0,0,1.0,0.48,0.48,0.014251101341402648,17.485274573621773,9.1942245,51.6586355,17.485274573621773,9.1942245,51.6586355,0.0,0.0,0.0,0.0,1.0,1.0
tm_poisson_0_05_Mbps_with_TcpVeno_spf,spf,0.05,24,24,0,0,1.0,0.44,0.44,0.014059722623381779,29.70888567735913,28.645399,55.519973,29.70888567735913,28.645399,55.519973,0.08333333333333337,0.0,0.08333333333333337,0.08333333333333337,0.9166666666666666,0.9166666666666666
tm_poisson_0_8_Mbps_with_TcpHybla_spf,spf,0.8,343,343,0,0,1.0,5.66208,5.66208,0.024380538784742594,42.0700957679561,26.8750135,65.4337285,42.0700957679561,26.8750135,65.4337285,0.1746239067055394,0.0,0.1746239067055394,0.1746239067055394,0.8221574344023324,0.8221574344023324
tm_poisson_0_8_Mbps_with_TcpNewReno_spf,spf,0.8,343,343,0,0,1.0,5.82,5.82,0.02705856560460715,49.16354334596311,26.730514,62.166421,49.16354334596311,26.730514,62.166421,0.15160349854227406,0.0,0.15160349854227406,0.15160349854227406,0.8483965014577259,0.8483965014577259
tm_poisson_0_8_Mbps_with_TcpBic_spf,spf,0.8,343,343,0,0,1.0,5.7366176,5.7366176,0.026951890325197854,44.446727437310976,27.34467,61.948808,44.446727437310976,27.34467,61.948808,0.16375836734693883,0.0,0.16375836734693883,0.16375836734693883,0.8250728862973761,0.8250728862973761
tm_poisson_0_8_Mbps_with_TcpWestwood_spf,spf,0.8,343,343,0,0,1.0,5.839872,5.839872,0.02885849426535151,44.25654316379525,24.719562,61.4736675,44.25654316379525,24.719562,61.4736675,0.1487067055393586,0.0,0.1487067055393586,0.1487067055393586,0.8483965014577259,0.8483965014577259
tm_poisson_0_8_Mbps_with_TcpVegas_spf,spf,0.8,343,343,0,0,1.0,5.82,5.82,0.026857430831627036,32.728675871279776,9.2517665,56.699263,32.728675871279776,9.2517665,56.699263,0.15160349854227406,0.0,0.15160349854227406,0.15160349854227406,0.8483965014577259,0.8483965014577259
tm_poisson_0_8_Mbps_with_TcpVeno_spf,spf,0.8,343,343,0,0,1.0,5.7955864,5.7955864,0.026902725338096945,46.151551051912776,26.3488485,62.7422415,46.151551051912776,26.3488485,62.7422415,0.155162332361516,0.0,0.155162332361516,0.155162332361516,0.8367346938775511,0.8367346938775511
tm_poisson_1_6_Mbps_with_TcpHybla_spf,spf,1.6,672,672,0,0,1.0,9.2128984,9.2128984,0.028700358228780948,67.49500452787686,28.6529455,81.979728,67.49500452787686,28.6529455,81.979728,0.31451648809523813,0.0,0.31451648809523813,0.31451648809523813,0.6502976190476191,0.6502976190476191
tm_poisson_1_6_Mbps_with_TcpNewReno_spf,spf,1.6,672,672,0,0,1.0,9.7580712,9.7580712,0.02792448228430063,66.72615099396016,27.4974965,81.767099,66.72615099396016,27.4974965,81.767099,0.27395303571428575,0.0,0.27395303571428575,0.27395303571428575,0.6517857142857143,0.6517857142857143
tm_poisson_1_6_Mbps_with_TcpBic_spf,spf,1.6,672,672,0,0,1.0,9.656365599999999,9.656365599999999,0.028897484535908752,69.650310375,28.7773745,79.4106385,69.650310375,28.7773745,79.4106385,0.2815204166666667,0.0,0.2815204166666667,0.2815204166666667,0.6681547619047619,0.6681547619047619
tm_poisson_1_6_Mbps_with_TcpWestwood_spf,spf,1.6,672,672,0,0,1.0,9.751677599999999,9.751677599999999,0.029357250549248717,59.7014813339479,25.1685655,83.6499825,59.7014813339479,25.1685655,83.6499825,0.27442875,0.0,0.27442875,0.27442875,0.6339285714285714,0.6339285714285714
tm_poisson_1_6_Mbps_with_TcpVegas_spf,spf,1.6,672,672,0,0,1.0,9.8755848,9.8755848,0.028940989058911723,48.62243038295936,13.5716115,74.94597,48.62243038295936,13.5716115,74.94597,0.26520946428571424,0.0,0.26520946428571424,0.26520946428571424,0.6651785714285714,0.6651785714285714
tm_poisson_1_6_Mbps_with_TcpVeno_spf,spf,1.6,672,672,0,0,1.0,9.6557832,9.6557832,0.02943411568898817,64.37137288436115,27.190058,83.6844465,64.37137288436115,27.190058,83.6844465,0.28156375,0.0,0.28156375,0.28156375,0.65625,0.65625
