run_name,algorithm,traffic_generation_rate_mbps,num_flows,num_reachable_flows,num_unreachable_flows,num_unreachable_pairs,topology_reachability,throughput_mbps,throughput_active_window_mbps,load_balance_jain,avg_delay_ms,median_delay_ms,p95_delay_ms,reachable_avg_delay_ms,reachable_median_delay_ms,reachable_p95_delay_ms,drop_rate,topology_drop_rate,congestion_drop_rate,reachable_drop_rate,completion_rate,reachable_completion_rate
tm_poisson_0_05_Mbps_with_TcpHybla_ucb,ucb,0.05,24,24,0,0,1.0,0.4530272,0.4530272,0.7244971435441221,68.05470394529046,29.2689815,265.4954495,68.05470394529046,29.2689815,265.4954495,0.05619333333333332,0.0,0.05619333333333332,0.05619333333333332,0.9166666666666666,0.9166666666666666
tm_poisson_0_8_Mbps_with_TcpHybla_ucb,ucb,0.8,343,343,0,0,1.0,6.0564592,6.0564592,0.8838688446424758,71.71219707150935,27.5277995,197.4422895,71.71219707150935,27.5277995,197.4422895,0.11713422740524781,0.0,0.11713422740524781,0.11713422740524781,0.8454810495626822,0.8454810495626822
tm_poisson_1_6_Mbps_with_TcpHybla_ucb,ucb,1.6,672,672,0,0,1.0,9.7466744,9.7466744,0.8852084120633247,106.67048021108782,29.2874915,266.757874,106.67048021108782,29.2874915,266.757874,0.2748010119047619,0.0,0.2748010119047619,0.2748010119047619,0.6309523809523809,0.6309523809523809
