run_name,algorithm,traffic_generation_rate_mbps,num_flows,num_reachable_flows,num_unreachable_flows,num_unreachable_pairs,topology_reachability,throughput_mbps,throughput_active_window_mbps,load_balance_jain,avg_delay_ms,median_delay_ms,p95_delay_ms,reachable_avg_delay_ms,reachable_median_delay_ms,reachable_p95_delay_ms,drop_rate,topology_drop_rate,congestion_drop_rate,reachable_drop_rate,completion_rate,reachable_completion_rate
tm_poisson_0_05_Mbps_with_TcpHybla_ucb,ucb,0.05,24,24,0,0,1.0,0.4233672,0.4233672,0.9597229610420437,79.92517705289052,29.616232,220.6955545,79.92517705289052,29.616232,220.6955545,0.117985,0.0,0.117985,0.117985,0.875,0.875
tm_poisson_0_8_Mbps_with_TcpHybla_ucb,ucb,0.8,343,343,0,0,1.0,5.7143112,5.7143112,0.9660042303360411,77.24744861269188,26.287418,194.305932,77.24744861269188,26.287418,194.305932,0.1670100291545189,0.0,0.1670100291545189,0.1670100291545189,0.7784256559766763,0.7784256559766763
tm_poisson_1_6_Mbps_with_TcpHybla_ucb,ucb,1.6,672,672,0,0,1.0,9.2224592,9.2224592,0.9425757507625263,117.31948466773119,27.193477,346.919368,117.31948466773119,27.193477,346.919368,0.3138051190476191,0.0,0.3138051190476191,0.3138051190476191,0.5952380952380952,0.5952380952380952
