0,1,0,20000000000,0.000000
1,0,0,20000000000,0.000000
0,12,0,20000000000,0.000000
12,0,0,20000000000,0.000000
1,2,0,20000000000,0.000000
2,1,0,20000000000,0.000000
1,13,0,20000000000,0.000000
13,1,0,20000000000,0.000000
2,3,0,20000000000,0.000000
3,2,0,20000000000,0.000000
2,14,0,20000000000,0.000000
14,2,0,20000000000,0.000000
3,4,0,20000000000,0.000000
4,3,0,20000000000,0.000000
3,15,0,20000000000,0.000000
15,3,0,20000000000,0.000000
4,5,0,20000000000,0.000000
5,4,0,20000000000,0.000000
4,16,0,20000000000,0.000000
16,4,0,20000000000,0.000000
5,6,0,20000000000,0.000000
6,5,0,20000000000,0.000000
5,17,0,20000000000,0.000000
17,5,0,20000000000,0.000000
6,7,0,20000000000,0.000000
7,6,0,20000000000,0.000000
6,18,0,20000000000,0.000000
18,6,0,20000000000,0.000000
7,8,0,20000000000,0.000000
8,7,0,20000000000,0.000000
7,19,0,20000000000,0.000000
19,7,0,20000000000,0.000000
8,9,0,20000000000,0.000000
9,8,0,20000000000,0.000000
8,20,0,20000000000,0.000000
20,8,0,20000000000,0.000000
9,10,0,20000000000,0.000000
10,9,0,20000000000,0.000000
9,21,0,20000000000,0.000000
21,9,0,20000000000,0.000000
0,10,0,20000000000,0.000000
10,0,0,20000000000,0.000000
10,11,0,20000000000,0.000000
11,10,0,20000000000,0.000000
11,12,0,20000000000,0.000000
12,11,0,20000000000,0.000000
11,23,0,20000000000,0.000000
23,11,0,20000000000,0.000000
12,13,0,20000000000,0.000000
13,12,0,20000000000,0.000000
12,24,0,20000000000,0.000000
24,12,0,20000000000,0.000000
13,14,0,20000000000,0.000000
14,13,0,20000000000,0.000000
13,25,0,20000000000,0.000000
25,13,0,20000000000,0.000000
14,15,0,20000000000,0.000000
15,14,0,20000000000,0.000000
14,26,0,20000000000,0.000000
26,14,0,20000000000,0.000000
15,16,0,20000000000,0.000000
16,15,0,20000000000,0.000000
15,27,0,20000000000,0.000000
27,15,0,20000000000,0.000000
16,17,0,20000000000,0.000000
17,16,0,20000000000,0.000000
16,28,0,20000000000,0.000000
28,16,0,20000000000,0.000000
17,18,0,20000000000,0.000000
18,17,0,20000000000,0.000000
17,29,0,20000000000,0.000000
29,17,0,20000000000,0.000000
18,19,0,20000000000,0.000000
19,18,0,20000000000,0.000000
18,30,0,20000000000,0.000000
30,18,0,20000000000,0.000000
19,20,0,20000000000,0.000000
20,19,0,20000000000,0.000000
19,31,0,20000000000,0.000000
31,19,0,20000000000,0.000000
20,21,0,20000000000,0.000000
21,20,0,20000000000,0.000000
20,32,0,20000000000,0.000000
32,20,0,20000000000,0.000000
11,21,0,20000000000,0.000000
21,11,0,20000000000,0.000000
21,22,0,20000000000,0.000000
22,21,0,20000000000,0.000000
22,23,0,20000000000,0.000000
23,22,0,20000000000,0.000000
22,34,0,20000000000,0.000000
34,22,0,20000000000,0.000000
23,24,0,20000000000,0.000000
24,23,0,20000000000,0.000000
23,35,0,20000000000,0.000000
35,23,0,20000000000,0.000000
24,25,0,20000000000,0.000000
25,24,0,20000000000,0.000000
24,36,0,20000000000,0.000000
36,24,0,20000000000,0.000000
25,26,0,20000000000,0.000000
26,25,0,20000000000,0.000000
25,37,0,20000000000,0.000000
37,25,0,20000000000,0.000000
26,27,0,20000000000,0.000000
27,26,0,20000000000,0.000000
26,38,0,20000000000,0.000000
38,26,0,20000000000,0.000000
27,28,0,20000000000,0.000000
28,27,0,20000000000,0.000000
27,39,0,20000000000,0.000000
39,27,0,20000000000,0.000000
28,29,0,20000000000,0.000000
29,28,0,20000000000,0.000000
28,40,0,20000000000,0.000000
40,28,0,20000000000,0.000000
29,30,0,20000000000,0.000000
30,29,0,20000000000,0.000000
29,41,0,20000000000,0.000000
41,29,0,20000000000,0.000000
30,31,0,20000000000,0.000000
31,30,0,20000000000,0.000000
30,42,0,20000000000,0.000000
42,30,0,20000000000,0.000000
31,32,0,20000000000,0.000000
32,31,0,20000000000,0.000000
31,43,0,20000000000,0.000000
43,31,0,20000000000,0.000000
22,32,0,20000000000,0.000000
32,22,0,20000000000,0.000000
32,33,0,20000000000,0.000000
33,32,0,20000000000,0.000000
33,34,0,20000000000,0.000000
34,33,0,20000000000,0.000000
33,45,0,20000000000,0.000000
45,33,0,20000000000,0.000000
34,35,0,20000000000,0.000000
35,34,0,20000000000,0.000000
34,46,0,20000000000,0.000000
46,34,0,20000000000,0.000000
35,36,0,20000000000,0.000000
36,35,0,20000000000,0.000000
35,47,0,20000000000,0.000000
47,35,0,20000000000,0.000000
36,37,0,20000000000,0.000000
37,36,0,20000000000,0.000000
36,48,0,20000000000,0.000000
48,36,0,20000000000,0.000000
37,38,0,20000000000,0.000000
38,37,0,20000000000,0.000000
37,49,0,20000000000,0.000000
49,37,0,20000000000,0.000000
38,39,0,20000000000,0.000000
39,38,0,20000000000,0.000000
38,50,0,20000000000,0.000000
50,38,0,20000000000,0.000000
39,40,0,20000000000,0.000000
40,39,0,20000000000,0.000000
39,51,0,20000000000,0.000000
51,39,0,20000000000,0.000000
40,41,0,20000000000,0.000000
41,40,0,20000000000,0.000000
40,52,0,20000000000,0.000000
52,40,0,20000000000,0.000000
41,42,0,20000000000,0.000000
42,41,0,20000000000,0.000000
41,53,0,20000000000,0.000000
53,41,0,20000000000,0.000000
42,43,0,20000000000,0.000000
43,42,0,20000000000,0.000000
42,54,0,20000000000,0.000000
54,42,0,20000000000,0.000000
33,43,0,20000000000,0.000000
43,33,0,20000000000,0.000000
43,44,0,20000000000,0.000000
44,43,0,20000000000,0.000000
44,45,0,20000000000,0.000000
45,44,0,20000000000,0.000000
44,56,0,20000000000,0.000000
56,44,0,20000000000,0.000000
45,46,0,20000000000,0.000000
46,45,0,20000000000,0.000000
45,57,0,20000000000,0.000000
57,45,0,20000000000,0.000000
46,47,0,20000000000,0.000000
47,46,0,20000000000,0.000000
46,58,0,20000000000,0.000000
58,46,0,20000000000,0.000000
47,48,0,20000000000,0.000000
48,47,0,20000000000,0.000000
47,59,0,20000000000,0.000000
59,47,0,20000000000,0.000000
48,49,0,20000000000,0.000000
49,48,0,20000000000,0.000000
48,60,0,20000000000,0.000000
60,48,0,20000000000,0.000000
49,50,0,20000000000,0.000000
50,49,0,20000000000,0.000000
49,61,0,20000000000,0.000000
61,49,0,20000000000,0.000000
50,51,0,20000000000,0.000000
51,50,0,20000000000,0.000000
50,62,0,20000000000,0.000000
62,50,0,20000000000,0.000000
51,52,0,20000000000,0.000000
52,51,0,20000000000,0.000000
51,63,0,20000000000,0.000000
63,51,0,20000000000,0.000000
52,53,0,20000000000,0.000000
53,52,0,20000000000,0.000000
52,64,0,20000000000,0.000000
64,52,0,20000000000,0.000000
53,54,0,20000000000,0.000000
54,53,0,20000000000,0.000000
53,65,0,20000000000,0.000000
65,53,0,20000000000,0.000000
44,54,0,20000000000,0.000000
54,44,0,20000000000,0.000000
54,55,0,20000000000,0.000000
55,54,0,20000000000,0.000000
55,56,0,20000000000,0.000000
56,55,0,20000000000,0.000000
1,55,0,20000000000,0.000000
55,1,0,20000000000,0.000000
56,57,0,20000000000,0.000000
57,56,0,20000000000,0.000000
2,56,0,20000000000,0.000000
56,2,0,20000000000,0.000000
57,58,0,20000000000,0.000000
58,57,0,20000000000,0.000000
3,57,0,20000000000,0.000000
