run_name,algorithm,traffic_generation_rate_mbps,num_flows,num_reachable_flows,num_unreachable_flows,num_unreachable_pairs,topology_reachability,throughput_mbps,throughput_active_window_mbps,load_balance_jain,avg_delay_ms,median_delay_ms,p95_delay_ms,reachable_avg_delay_ms,reachable_median_delay_ms,reachable_p95_delay_ms,drop_rate,topology_drop_rate,congestion_drop_rate,reachable_drop_rate,completion_rate,reachable_completion_rate
tm_poisson_0_05_Mbps_with_TcpHybla_ucb,ucb,0.05,24,24,0,0,1.0,0.4352904,0.4352904,0.8575345815779212,72.88672975552485,32.6315255,312.235588,72.88672975552485,32.6315255,312.235588,0.09314500000000003,0.0,0.09314500000000003,0.09314500000000003,0.875,0.875
tm_poisson_0_8_Mbps_with_TcpHybla_ucb,ucb,0.8,343,343,0,0,1.0,6.063116,6.063116,0.9128823288948354,74.22031011928269,27.894756,195.860644,74.22031011928269,27.894756,195.860644,0.11616384839650151,0.0,0.11616384839650151,0.11616384839650151,0.8600583090379009,0.8600583090379009
tm_poisson_1_6_Mbps_with_TcpHybla_ucb,ucb,1.6,672,672,0,0,1.0,9.5792528,9.5792528,0.8825191913518516,108.52240312925345,28.890901,291.2928475,108.52240312925345,28.890901,291.2928475,0.2872579761904762,0.0,0.2872579761904762,0.2872579761904762,0.6309523809523809,0.6309523809523809
