0,712,680,10000,226703694,,slot=2;src=712;dst=680;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
1,703,664,10000,378087949,,slot=3;src=703;dst=664;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
2,665,701,10000,921442202,,slot=9;src=665;dst=701;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
3,641,670,10000,1288775791,,slot=12;src=641;dst=670;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
4,625,660,10000,1453893943,,slot=14;src=625;dst=660;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
5,634,628,10000,1560777427,,slot=15;src=634;dst=628;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
6,633,723,10000,1687370314,,slot=16;src=633;dst=723;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
7,684,639,10000,2054147526,,slot=20;src=684;dst=639;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
8,665,701,10000,2064546921,,slot=20;src=665;dst=701;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
9,717,675,10000,2365673360,,slot=23;src=717;dst=675;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
10,657,671,10000,2403319392,,slot=24;src=657;dst=671;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
11,625,660,10000,2471518539,,slot=24;src=625;dst=660;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
12,698,663,10000,2632587234,,slot=26;src=698;dst=663;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
13,722,706,10000,2725673680,,slot=27;src=722;dst=706;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
14,641,670,10000,2909107429,,slot=29;src=641;dst=670;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
15,648,713,10000,2950551420,,slot=29;src=648;dst=713;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
16,693,686,10000,3112738800,,slot=31;src=693;dst=686;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
17,666,691,10000,3203010206,,slot=32;src=666;dst=691;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
18,705,690,10000,3501705381,,slot=35;src=705;dst=690;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
19,629,655,10000,3866771031,,slot=38;src=629;dst=655;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
20,633,723,10000,3878154547,,slot=38;src=633;dst=723;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
21,626,659,10000,3899303267,,slot=38;src=626;dst=659;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
22,643,672,10000,4292219579,,slot=42;src=643;dst=672;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
23,655,629,10000,4355643515,,slot=43;src=655;dst=629;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
24,676,699,10000,4413560641,,slot=44;src=676;dst=699;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
25,722,706,10000,5160929287,,slot=51;src=722;dst=706;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
26,680,712,10000,5193228328,,slot=51;src=680;dst=712;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
27,716,662,10000,5307354259,,slot=53;src=716;dst=662;rate_mbps=0.005;flow_size_byte=10000;packet_lambda_per_s=None;packet_size_byte=1500;lambda_mode=flow_per_pair_rate_mbps
