run_name,algorithm,traffic_generation_rate_mbps,num_flows,num_reachable_flows,num_unreachable_flows,num_unreachable_pairs,topology_reachability,throughput_mbps,throughput_active_window_mbps,load_balance_jain,avg_delay_ms,median_delay_ms,p95_delay_ms,reachable_avg_delay_ms,reachable_median_delay_ms,reachable_p95_delay_ms,drop_rate,topology_drop_rate,congestion_drop_rate,reachable_drop_rate,completion_rate,reachable_completion_rate
tm_poisson_0_05_Mbps_with_TcpHybla_spf,spf,0.05,24,24,0,0,1.0,0.46,0.46,0.014122835146194425,20.02533381000665,17.571337,50.60166,20.02533381000665,17.571337,50.60166,0.04166666666666663,0.0,0.04166666666666663,0.04166666666666663,0.9583333333333334,0.9583333333333334
tm_poisson_0_8_Mbps_with_TcpHybla_spf,spf,0.8,343,343,0,0,1.0,5.7449128,5.7449128,0.027636701519266026,41.45691427616795,16.9077935,55.013731,41.45691427616795,16.9077935,55.013731,0.16254915451895047,0.0,0.16254915451895047,0.16254915451895047,0.8367346938775511,0.8367346938775511
tm_poisson_1_6_Mbps_with_TcpHybla_spf,spf,1.6,672,672,0,0,1.0,9.1843776,9.1843776,0.027377011743858898,55.158056942629194,17.7652735,74.178066,55.158056942629194,17.7652735,74.178066,0.31663857142857144,0.0,0.31663857142857144,0.31663857142857144,0.6517857142857143,0.6517857142857143
tm_poisson_0_05_Mbps_with_TcpHybla_ucb,ucb,0.05,24,24,0,0,1.0,0.45644959999999996,0.45644959999999996,0.9085042699717699,41.01028469202279,18.3457155,183.165039,41.01028469202279,18.3457155,183.165039,0.04906333333333335,0.0,0.04906333333333335,0.04906333333333335,0.9166666666666666,0.9166666666666666
tm_poisson_0_8_Mbps_with_TcpHybla_ucb,ucb,0.8,343,343,0,0,1.0,5.9739927999999995,5.9739927999999995,0.93778717466691,60.64912947984557,17.620786,222.225168,60.64912947984557,17.620786,222.225168,0.1291555685131195,0.0,0.1291555685131195,0.1291555685131195,0.8367346938775511,0.8367346938775511
tm_poisson_1_6_Mbps_with_TcpHybla_ucb,ucb,1.6,672,672,0,0,1.0,9.5463832,9.5463832,0.9152619931078084,91.01374766382962,18.153529,259.614125,91.01374766382962,18.153529,259.614125,0.28970363095238094,0.0,0.28970363095238094,0.28970363095238094,0.6101190476190477,0.6101190476190477
