run_name,algorithm,traffic_generation_rate_mbps,num_flows,num_reachable_flows,num_unreachable_flows,num_unreachable_pairs,topology_reachability,throughput_mbps,throughput_active_window_mbps,load_balance_jain,avg_delay_ms,median_delay_ms,p95_delay_ms,reachable_avg_delay_ms,reachable_median_delay_ms,reachable_p95_delay_ms,drop_rate,topology_drop_rate,congestion_drop_rate,reachable_drop_rate,completion_rate,reachable_completion_rate
tm_poisson_0_05_Mbps_with_TcpHybla_ucb,ucb,0.05,24,24,0,0,1.0,0.4395408,0.4395408,0.927303167957087,57.64331710360094,29.70806,197.0,57.64331710360094,29.70806,197.0,0.08428999999999998,0.0,0.08428999999999998,0.08428999999999998,0.875,0.875
tm_poisson_0_05_Mbps_with_TcpNewReno_ucb,ucb,0.05,24,21,3,1,0.8888888888888888,0.3828728,0.3828728,0.9784996536309329,134.8251451469918,35.623395,476.838921,118.15265222548099,34.8899635,428.603865,0.20234833333333335,0.125,0.11284380952380957,0.11284380952380957,0.6666666666666666,0.7619047619047619
tm_poisson_0_05_Mbps_with_TcpBic_ucb,ucb,0.05,24,21,3,1,0.8888888888888888,0.3991192,0.3991192,0.9655768407582753,140.23107434549652,35.000709,485.8483995,112.79055316309227,32.5293,442.259561,0.16850166666666666,0.125,0.1218704761904762,0.1218704761904762,0.7083333333333334,0.8095238095238095
tm_poisson_0_05_Mbps_with_TcpWestwood_ucb,ucb,0.05,24,21,3,1,0.8888888888888888,0.37777679999999997,0.37777679999999997,0.9778588187895711,122.19083801980874,35.3073655,439.8289735,107.81190270535292,34.0807695,396.9397835,0.21296499999999996,0.125,0.13299428571428573,0.13299428571428573,0.625,0.7142857142857143
tm_poisson_0_05_Mbps_with_TcpVegas_ucb,ucb,0.05,24,21,3,1,0.8888888888888888,0.408724,0.408724,0.9627171770729962,97.32943227571936,18.276345,431.4661425,81.58610567844018,18.199791,400.868776,0.1484916666666667,0.125,0.0974247619047619,0.0974247619047619,0.7083333333333334,0.8095238095238095
tm_poisson_0_05_Mbps_with_TcpVeno_ucb,ucb,0.05,24,21,3,1,0.8888888888888888,0.37866,0.37866,0.9716507023801961,118.0090846445276,35.544874,448.4441745,99.90363797772278,33.791991,391.7106905,0.211125,0.125,0.14994857142857143,0.14994857142857143,0.625,0.7142857142857143
tm_poisson_0_8_Mbps_with_TcpHybla_ucb,ucb,0.8,343,343,0,0,1.0,5.926172,5.926172,0.9435107047152413,67.89732089884016,26.799243,228.570864,67.89732089884016,26.799243,228.570864,0.1361265306122449,0.0,0.1361265306122449,0.1361265306122449,0.8338192419825073,0.8338192419825073
tm_poisson_0_8_Mbps_with_TcpNewReno_ucb,ucb,0.8,343,343,0,0,1.0,5.6738464,5.6738464,0.9071699271738712,96.85372820716935,30.889504,349.909274,96.85372820716935,30.889504,349.909274,0.17290868804664727,0.0,0.17290868804664727,0.17290868804664727,0.7201166180758017,0.7201166180758017
tm_poisson_0_8_Mbps_with_TcpBic_ucb,ucb,0.8,343,343,0,0,1.0,5.858596,5.858596,0.914445381175669,106.20653098690059,32.802231,369.8773515,106.20653098690059,32.802231,369.8773515,0.14597725947521867,0.0,0.14597725947521867,0.14597725947521867,0.7405247813411079,0.7405247813411079
tm_poisson_0_8_Mbps_with_TcpWestwood_ucb,ucb,0.8,343,343,0,0,1.0,5.659712799999999,5.659712799999999,0.9065855512494186,103.88845268554573,29.9051005,353.268811,103.88845268554573,29.9051005,353.268811,0.17496897959183677,0.0,0.17496897959183677,0.17496897959183677,0.7317784256559767,0.7317784256559767
tm_poisson_0_8_Mbps_with_TcpVegas_ucb,ucb,0.8,343,343,0,0,1.0,5.903544,5.903544,0.9110371527392799,77.70645762376357,20.406483,333.023918,77.70645762376357,20.406483,333.023918,0.13942507288629735,0.0,0.13942507288629735,0.13942507288629735,0.7521865889212828,0.7521865889212828
tm_poisson_0_8_Mbps_with_TcpVeno_ucb,ucb,0.8,343,343,0,0,1.0,5.6849392000000005,5.6849392000000005,0.9096202525472714,99.76517725138224,30.922388,349.977711,99.76517725138224,30.922388,349.977711,0.17129166180758015,0.0,0.17129166180758015,0.17129166180758015,0.7317784256559767,0.7317784256559767
tm_poisson_1_6_Mbps_with_TcpHybla_ucb,ucb,1.6,672,672,0,0,1.0,9.830912,9.830912,0.9364493638224922,108.22759988462234,28.9949495,306.1473385,108.22759988462234,28.9949495,306.1473385,0.2685333333333333,0.0,0.2685333333333333,0.2685333333333333,0.625,0.625
tm_poisson_1_6_Mbps_with_TcpNewReno_ucb,ucb,1.6,672,672,0,0,1.0,9.634354400000001,9.634354400000001,0.9029072482215026,156.78728931564422,40.3499785,409.5455465,156.78728931564422,40.3499785,409.5455465,0.28315815476190476,0.0,0.28315815476190476,0.28315815476190476,0.5044642857142857,0.5044642857142857
tm_poisson_1_6_Mbps_with_TcpBic_ucb,ucb,1.6,672,672,0,0,1.0,9.9997688,9.9997688,0.9160347016306031,158.64849231777987,39.7486205,429.849609,158.64849231777987,39.7486205,429.849609,0.2559695833333333,0.0,0.2559695833333333,0.2559695833333333,0.5223214285714286,0.5223214285714286
tm_poisson_1_6_Mbps_with_TcpWestwood_ucb,ucb,1.6,672,672,0,0,1.0,9.5646816,9.5646816,0.9022903991772894,160.01841149877765,41.0520335,408.922797,160.01841149877765,41.0520335,408.922797,0.2883421428571429,0.0,0.2883421428571429,0.2883421428571429,0.49107142857142855,0.49107142857142855
tm_poisson_1_6_Mbps_with_TcpVegas_ucb,ucb,1.6,672,672,0,0,1.0,10.2322864,10.2322864,0.9005570561360445,127.39042548531937,29.747366,398.893621,127.39042548531937,29.747366,398.893621,0.2386691666666667,0.0,0.2386691666666667,0.2386691666666667,0.5297619047619048,0.5297619047619048
tm_poisson_1_6_Mbps_with_TcpVeno_ucb,ucb,1.6,672,672,0,0,1.0,9.6978592,9.6978592,0.9007132819644363,168.52846299283735,42.370732,410.3978665,168.52846299283735,42.370732,410.3978665,0.27843309523809523,0.0,0.27843309523809523,0.27843309523809523,0.49404761904761907,0.49404761904761907
