5,39572162633,94000000
5,39739592907,103125000
5,40966522524,120234375
5,41577630606,154705078
5,42144782524,170991943
5,42589413233,209617950
5,42852787508,216290706
5,43041596745,245754367
5,43218867859,248035071
5,43816621195,324780687
5,44636481742,337058101
5,44820651033,370800838
5,45497759890,336950733
5,45918273544,352206891
5,46016320088,373056029
5,46502967430,452049025
5,47679954768,456917896
5,47778059453,416053159
5,47874905993,388421514
5,49692911765,523743824
5,49864458915,581025846
5,50331262774,523522615
5,50590146728,505582288
5,50602581650,491384502
5,50810794310,489961439
5,56905886846,445591259
5,57238973766,448392351
5,57410443014,424593307
5,57676428849,437019143
5,58564180495,470266750
5,58750463625,490483406
5,58994674666,482922980
5,60951983475,537932607
5,62204878922,527066031
5,62303696385,501557777
5,63903917908,515613054
5,64006639713,515536422
5,64134361806,479969369
5,64392022585,468223197
5,65714787827,447320297
5,65897748563,414280259
5,66155799866,417620226
5,67192909910,409167697
5,67745164004,379646734
5,67847732949,344940892
5,67850027008,314948280
5,68514565565,371704745
5,68766152032,439741651
5,68889884858,514648944
5,69230188122,622817826
5,69908343654,607340597
5,70410847358,656548022
5,72622743415,736354519
5,73283349386,769060204
5,73341905925,762802678
5,73424570732,685077343
5,77687282947,696067675
5,81568241827,708059215
5,81740506131,740051813
5,85971192557,731045336
5,86609057190,802914669
5,87746651105,816425335
